text,sentiment,labels
?ây th?c s? là m?t chuy?n ?i tr?i nghi?m tuy?t v?i cho c? gia ?ình chúng tôi.,1,['FACILITIES#MISCELLANEOUS']
"D?ch v? t?t, ?? ?n ngon, phong c?nh ??p.",1,"['FACILITIES#DESIGN&FEATURES', 'FACILITIES#QUALITY', 'FOOD&DRINKS#QUALITY', 'SERVICE#GENERAL']"
"Khu ngh? d??ng có thi?t k? r?t ??p, m?i phòng ??u có view h??ng ra bi?n.",1,"['FACILITIES#DESIGN&FEATURES', 'HOTEL#GENERAL', 'ROOMS#GENERAL']"
Th?t s? ?n t??ng.,1,['HOTEL#GENERAL']
M?t k? ngh? khi ???c ghé th?m InterContinental Danang Sun peninsula resort.,1,"['HOTEL#GENERAL', 'HOTEL#MISCELLANEOUS']"
"Nhân viên Trang và qu?n lý anh Ph??ng r?t t?t, nhi?t tình khi gi?i thi?u các lo?i bia.",1,"['FACILITIES#QUALITY', 'FOOD&DRINKS#MISCELLANEOUS', 'SERVICE#GENERAL']"
Tôi ???c th? tr?i nghi?m bia ?en t??i Bà Nà r?t ??c ?áoo và ngonn.,1,"['FACILITIES#MISCELLANEOUS', 'FOOD&DRINKS#MISCELLANEOUS', 'FOOD&DRINKS#QUALITY']"
Không gian t?i Long Bar r?t ??c ?áo và thoáng mát.,1,"['FACILITIES#DESIGN&FEATURES', 'FOOD&DRINKS#MISCELLANEOUS']"
Nên ??n tr?i nghi?m th? Intercontinental ?à N?ng,1,['FACILITIES#MISCELLANEOUS']
"Mình ?ã có 1 tr?i nghi?m ??y ?n t??ng t?i Intercontinental Danang - m?t khu resort n?m tách bi?t t?i Bãi B?c c?a Bán ??o S?n Trà, v?i không khí trong lành và yên t?nh ?? có th? t?n h??ng m?t k? ngh? tr?n v?n.",1,"['FACILITIES#MISCELLANEOUS', 'HOTEL#COMFORT', 'HOTEL#GENERAL', 'HOTEL#MISCELLANEOUS', 'LOCATION#GENERAL']"
"Ch?a nh?c ??n nh?ng thi?t k? sang tr?ng và tinh t? n?i ?ây thì nhân viên c?a n?i này ?ã làm mình c?m nh?n sâu s?c v? d?ch v? ??ng c?p qua s? t?n tâm, thân thi?n ... Ngoài ra, ?i?u khi?n mình thích nh?t là nh?ng món ?n ngon, ??c s?c t? các nhà hàng c?a khu resort c?ng nh? s? k?t h?p c?a b?p tr??ng ng??i Pháp và ng??i Nh?t trong bu?i t?i ""Four Hands - Fussion DInner ""... M?i m?t tr?i nghi?m ?áng nh? n?i này làm cho mình mu?n gi?i thi?u ??n m?i ng??i v? khu resort ??ng c?p t?i ?à N?ng c?ng nh? hy v?ng m?t ngày không xa s? tr? l?i n?i này.",1,"['FACILITIES#DESIGN&FEATURES', 'FACILITIES#MISCELLANEOUS', 'FOOD&DRINKS#QUALITY', 'HOTEL#DESIGN&FEATURES', 'HOTEL#GENERAL', 'HOTEL#QUALITY', 'SERVICE#GENERAL']"
Ngh? d??ng ? m?t n?i riêng t? tách bi?t hoàn toàn v?i cu?c s?ng ?ô th?.,1,['HOTEL#GENERAL']
Nh?ng n?i ?ây v?n có không khí t?t ?m cúng mà tôi c?m nh?n ???c rõ ràng.,1,['HOTEL#GENERAL']
"N?i ?âu c?ng ng?p tràng s?c ??, hoa, l?ng ?èn, pháo hoa ?êm giao th?a...Th?i ti?t r?t t?t , trong lành s?ch s?, làm cho nh?ng t?m hình k? ni?m c?a tôi r?t ?n t??ng.",1,"['FACILITIES#CLEANLINESS', 'FACILITIES#QUALITY']"
Gia ?ình tôi có r?t r?t nhìu t?m hình ??p ? m?i góc ?? c?a khách s?n.,1,"['FACILITIES#DESIGN&FEATURES', 'HOTEL#GENERAL']"
M? tôi b?o r?t khó ?? ch?n ra m?t t?m ?? làm ?nh ??i di?n Facebook vì t?m nào c?ng xu?t s?c c?.,1,['FACILITIES#QUALITY']
"M? tôi ?n t??ng ??c bi?t v? anh Sang ? d??i bi?n ,b?n Ngh?a trên h? b?i ch?p hình r?t ??p.",1,"['FACILITIES#DESIGN&FEATURES', 'FACILITIES#GENERAL']"
Hai ng??i h? ph?c v? r?t nhi?t tình .,1,['SERVICE#GENERAL']
xin c?m ?n khách s?n ?ã mang ??n cái t?t tr?n v?n cho gia ?ình tôi.,1,['HOTEL#GENERAL']
Mình ?ã có m?t k? ngh? tuy?t v?i t?i InterContinental Danang.,1,['HOTEL#MISCELLANEOUS']
"D?ch v? ? ?ây th?c s? xu?t s?c, m?i ng??i ??u r?t nhi?t tình và chu ?áo.",1,"['FACILITIES#QUALITY', 'SERVICE#GENERAL']"
"B?t c? khi nào mình c?n gì, ch? trong vòng ch?a ??y m?t ti?ng là ???c ?áp ?ng ngay.Chuy?n ?i này càng ??c bi?t h?n vì ?ó là k? ngh? honeymoon c?a mình.",1,['HOTEL#MISCELLANEOUS']
"InterContinental Danang ?ã t?ng mình m?t chai r??u vang ?? chúc m?ng, m?t c? ch? th?t ?m áp và ý ngh?a.",1,['HOTEL#GENERAL']
"Mình c?ng ?i cùng v?i b?n bè và con gái c?a h?, tình c? ?ó c?ng là ngày sinh nh?t c?a bé.",1,['HOTEL#GENERAL']
"Nhà hàng ?ã chu?n b? m?t ti?t m?c vô cùng ??c s?c, v?i màn bi?u di?n ca hát, ?àn múa ??y ?n t??ng.Không ch? mình, mà b?n mình (là ng??i n??c ngoài) c?ng r?t thích n?i ?ây.",1,['HOTEL#GENERAL']
H? th?m chí còn nói r?ng h? yêu Vi?t Nam và ch?c ch?n s? quay tr? l?i.,1,['HOTEL#GENERAL']
?i?u ?ó làm mình c?m th?y r?t t? hào khi có c? h?i m?i b?n mình ??n ??t n??c mình và ?? h? tr?i nghi?m s? hi?u khách tuy?t v?i ? ?ây.Mình mu?n g?i l?i c?m ?n sâu s?c ??n toàn th? ??i ng? InterContinental Danang ?ã bi?n k? ngh? honeymoon c?a mình tr? nên tr?n v?n.,1,"['FACILITIES#MISCELLANEOUS', 'HOTEL#MISCELLANEOUS']"
"??c bi?t, c?m ?n các anh ch? Suong Che, Thien Truong, Min Le, Tuan Tran và Thanh Trung vì ?ã chu?n b? m?t b?a ti?c sinh nh?t b?t ng? th?t ?áng nh? cho con gái c?a b?n mình.InterContinental Danang th?c s? là ?i?m ??n ngh? d??ng mà mình và b?n mình s? l?a ch?n trong nh?ng l?n t?i.",1,['HOTEL#GENERAL']
"M?t l?n n?a, xin c?m ?n t?t c?!",1,['HOTEL#GENERAL']
??,1,['HOTEL#GENERAL']
"Thi?t k? r?t ??p, sang tr?ng, m?t n?i r?t t?t ?? ngh? ng?i và th? giãn.",1,"['FACILITIES#DESIGN&FEATURES', 'FACILITIES#QUALITY', 'HOTEL#DESIGN&FEATURES']"
Giá s? h?i cao nh?ng ?áng ?? t?n h??ng.,1,['HOTEL#GENERAL']
?? ?n thì ch?t l??ng t?m ?n.,1,['FACILITIES#QUALITY']
"T?t c? giá c? d?ch v? s? cao h?n so v?i bên ngoài r?t nhi?u, tôi thích s? yên t?nh và riêng t? ? ?ây, có ??ng v?t hoang dã sinh s?ng ? cánh r?ng xung quanh",1,"['FACILITIES#PRICES', 'HOTEL#COMFORT', 'SERVICE#GENERAL']"
Gia ?ình tôi ?ã có m?t chuy?n ?i th?t tuy?t v?i.C?nh r?t ??p.,1,['FACILITIES#DESIGN&FEATURES']
D?ch v? t?t.,1,"['FACILITIES#QUALITY', 'SERVICE#GENERAL']"
Các món ?n ? ?ây r?t ngon.,1,['FOOD&DRINKS#QUALITY']
"Nhân viên nhi?t tình, chu ?áo.",1,['SERVICE#GENERAL']
H?n tr? l?i l?n sau.,1,['HOTEL#GENERAL']
Không gian ? ?ây r?t thích.,1,['HOTEL#GENERAL']
Gia ?ình tôi ai c?ng hài lòng.,1,['HOTEL#GENERAL']
Giá c? ?n.,1,['FACILITIES#PRICES']
?ã ch?p ???c nhi?u hình l?u k? ni?m,1,['HOTEL#GENERAL']
"?? ?n ngon, ?? u?ng thì ?a d?ng, khu Long Bar nh? khu ph?c h?p có c? kid club và gym, h? b?i, r?t thích h?p cho gia ?ình ghé ch?i.",1,"['FACILITIES#GENERAL', 'FOOD&DRINKS#MISCELLANEOUS', 'FOOD&DRINKS#QUALITY', 'FOOD&DRINKS#STYLE&OPTIONS']"
"Tôi ?ã ch?a lành th?t vui v? t?i n?i ?ây nh? có b?n Lan V? và b?n Nguyên Phan ph?c v? nhi?t tình và chu ?áo, b?n ch?p r?t nhi?u ?nh ??p.",1,"['FACILITIES#DESIGN&FEATURES', 'SERVICE#GENERAL']"
"R?t may ??t này mình ghé l?i Intercontinental ?à N?ng th?i ti?t r?t ?ng h? và siêu siêu ??p, r?t recommended m?i ng??i nên ghé th? nhé!",1,['FACILITIES#DESIGN&FEATURES']
Mình s? còn quay l?i n?i xinh ??p này cùng gia ?ình và ng??i th??ng nhi?u l?n n?a.,1,['FACILITIES#DESIGN&FEATURES']
